Discogs ID,Artist,Title,Year,Genre,Format,Cover URL,Thumb URL
3068785,Augustus Pablo,This Is Augustus Pablo,2011,Reggae,Vinyl,https://i.discogs.com/15aqwiUEUaq5W0kFSCOdhmXgBjyeG4Bq3aJFVDt2tHo/rs:fit/g:sm/q:90/h:300/w:299/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwNjg3/ODUtMTMyODg5MjE0/MC5qcGVn.jpeg,https://i.discogs.com/AESPi0HqFR2cLVt_63aniCjnKtOn_05cseRKYv3JBKs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwNjg3/ODUtMTMyODg5MjE0/MC5qcGVn.jpeg
712158,Kinsman Dazz,Dazz,1979,Funk / Soul,Vinyl,https://i.discogs.com/nNGy5Y9DoLVT6kSdhBuuwhVczf_lNFg3yp1mnsCgozg/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcxMjE1/OC0xNDAwMzcxOTEy/LTMzMzYuanBlZw.jpeg,https://i.discogs.com/n_iDkCwKZvm4tOBANLpfDX5nmrglpKSrkS4aV863dNk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcxMjE1/OC0xNDAwMzcxOTEy/LTMzMzYuanBlZw.jpeg
442490,The Police,Synchronicity,1983,Rock,Vinyl,https://i.discogs.com/-_zH6T6k8_SOb1j23-CZcOkfzkwuKyv1716V3LNiiZU/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0MjQ5/MC0xMzMyNTYxOTE1/LmpwZWc.jpeg,https://i.discogs.com/m0dh-YjmQzWvunwSsopsX0zlk3g9Hf1XwP7Q0e8OhN4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0MjQ5/MC0xMzMyNTYxOTE1/LmpwZWc.jpeg
1022839,The Tubes,Young And Rich,1976,Rock,Vinyl,https://i.discogs.com/MWVA1sN3kYzEuB49c088DA6dU_049FPt8C2YxcVkfJA/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMjI4/MzktMTQxMTk2MDk5/My02ODE2LmpwZWc.jpeg,https://i.discogs.com/JFb3I8agcy0c22ZfUKcrtAj5S7KVmiJJ4L6ORhz4Yzs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMjI4/MzktMTQxMTk2MDk5/My02ODE2LmpwZWc.jpeg
611451,Carpenters,The Singles 1969-1973,1973,Rock,Vinyl,https://i.discogs.com/mv3jvx2uWoNi71Tv9rBCk3YZpS-BFeJjnvYdnFM-2HE/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYxMTQ1/MS0xMjIyNjkxNzMw/LmpwZWc.jpeg,https://i.discogs.com/IEv7ab527SgZxRLoNqEXCzqNsWtsQBsoQT2jMpxa08U/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYxMTQ1/MS0xMjIyNjkxNzMw/LmpwZWc.jpeg
1473508,The Mamas & The Papas,Hits Of Gold,1974,Rock,Vinyl,https://i.discogs.com/Rw-H_-bT8If3Ye9b_WSAR1j0dYzXKdDct8eH3emmLxc/rs:fit/g:sm/q:90/h:593/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0NzM1/MDgtMTY0ODc2MDM0/MS0zNTM2LmpwZWc.jpeg,https://i.discogs.com/oJJQXd5wrZCb8t3ih0zs7wn8b-eREd5O3CBOb6mFNVY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0NzM1/MDgtMTY0ODc2MDM0/MS0zNTM2LmpwZWc.jpeg
4290679,Steely Dan,Can't Buy A Thrill,1974,Rock,Vinyl,https://i.discogs.com/X6YxT_WeaVjj_l5ALhkenAZZcqp4h-FZ6wjdZ16rS4E/rs:fit/g:sm/q:90/h:496/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQyOTA2/NzktMTQyMjQ4Mzc3/NC01NDgxLmpwZWc.jpeg,https://i.discogs.com/QJJzx7Ius7xSZ7hknWjWj1xw57htJT3bErelqNU8rqU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQyOTA2/NzktMTQyMjQ4Mzc3/NC01NDgxLmpwZWc.jpeg
4383259,John Lennon,Shaved Fish,1975,Rock,Vinyl,https://i.discogs.com/7siMxbq1lgdT37JRo8Pj0oJgFBjIs9IIOrx0YnKHVuI/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQzODMy/NTktMTY2NjgxMTUy/OC02NTk3LmpwZWc.jpeg,https://i.discogs.com/4l5Hr-7l7zs45BjTE7S2an25PS8rKrrLUli9gHvkiLo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQzODMy/NTktMTY2NjgxMTUy/OC02NTk3LmpwZWc.jpeg
453773,Sky (4),Sky 2,1980,Rock,Vinyl,https://i.discogs.com/Dp28n35Dq_k54jIBKSoxn9-fWkm63FBjQYKHAT3dtPQ/rs:fit/g:sm/q:90/h:600/w:599/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ1Mzc3/My0xMzM2MjI3OTU5/LmpwZWc.jpeg,https://i.discogs.com/8nglyBAzRC9RA-cEPfg4Q6eWtCbS_AqZIWQDrh9d2pg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ1Mzc3/My0xMzM2MjI3OTU5/LmpwZWc.jpeg
773190,The Alan Parsons Project,I Robot,1977,Rock,Vinyl,https://i.discogs.com/5-QoHy8gAr3amY2zdneDOaCvcQ6Oa7r6R-Z-p3c0W8g/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc3MzE5/MC0xNDYzMjQyNzk3/LTgxNDQuanBlZw.jpeg,https://i.discogs.com/qxGop9Uvn_i-4H27z0-y7SrNWhcIf8rpPDbY1KzNF_0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc3MzE5/MC0xNDYzMjQyNzk3/LTgxNDQuanBlZw.jpeg
